Block,Female,Haplotype,Male exposure,Vial,Female offspring,Male offspring,Other,Total offspring,Mortality
3,77,Barcelona,H,1,10,18,4,32,N
3,77,Barcelona,L,2,17,28,0,45,N
3,77,Barcelona,H,3,11,13,0,24,N
3,77,Barcelona,L,4,14,22,0,36,N
3,78,Barcelona,H,1,7,16,0,23,N
3,78,Barcelona,L,2,16,27,4,47,N
3,78,Barcelona,H,3,14,14,0,28,N
3,78,Barcelona,L,4,22,21,0,43,N
3,79,Barcelona,H,1,9,18,0,27,N
3,79,Barcelona,L,2,21,17,0,38,N
3,79,Barcelona,H,3,13,16,0,29,N
3,79,Barcelona,L,4,23,18,1,42,N
3,80,Barcelona,H,1,20,8,0,28,N
3,80,Barcelona,L,2,16,13,1,30,N
3,80,Barcelona,H,3,9,10,1,20,N
3,80,Barcelona,L,4,20,14,0,34,N
4,81,Dahomey,H,1,14,13,0,27,N
4,81,Dahomey,L,2,26,22,0,48,N
4,81,Dahomey,H,3,15,11,0,26,N
4,82,Dahomey,H,1,18,12,0,30,N
4,82,Dahomey,L,2,26,20,0,46,N
4,82,Dahomey,H,3,11,17,0,28,N
4,83,Dahomey,H,1,14,10,0,24,N
4,83,Dahomey,L,2,22,17,0,39,N
4,83,Dahomey,H,3,13,12,0,25,N
4,84,Dahomey,L,1,4,13,1,18,N
4,84,Dahomey,H,2,8,4,0,12,N
4,84,Dahomey,L,3,15,8,0,23,N
4,85,Dahomey,L,1,13,8,1,22,N
4,85,Dahomey,H,2,13,10,0,23,N
4,85,Dahomey,L,3,9,12,0,21,N
4,86,Dahomey,L,1,21,11,0,32,N
4,86,Dahomey,H,2,4,10,0,14,N
4,86,Dahomey,L,3,6,10,0,16,N
4,87,Sweden,H,1,9,4,0,13,N
4,87,Sweden,L,2,5,7,0,12,N
4,87,Sweden,H,3,14,19,0,33,N
4,88,Sweden,H,1,10,12,0,22,N
4,88,Sweden,L,2,6,5,0,11,N
4,88,Sweden,H,3,7,3,0,10,N
4,89,Sweden,H,1,11,4,0,15,N
4,89,Sweden,L,2,11,7,0,18,N
4,89,Sweden,H,3,4,7,0,11,N
4,90,Sweden,L,1,14,11,0,25,N
4,90,Sweden,H,2,8,6,1,15,N
4,90,Sweden,L,3,0,0,0,0,Y
4,91,Sweden,L,1,8,10,0,18,N
4,91,Sweden,H,2,17,6,0,23,N
4,91,Sweden,L,3,11,10,0,21,N
4,92,Sweden,L,1,37,39,0,76,N
4,92,Sweden,H,2,21,21,1,43,N
4,92,Sweden,L,3,20,25,0,45,N
4,93,Israel,H,1,18,23,1,42,N
4,93,Israel,L,2,22,27,1,50,N
4,93,Israel,H,3,19,16,0,35,N
4,94,Israel,H,1,15,17,0,32,N
4,94,Israel,L,2,18,19,0,37,N
4,94,Israel,H,3,7,9,0,16,N
4,95,Israel,H,1,13,11,1,25,N
4,95,Israel,L,2,29,19,0,48,N
4,95,Israel,H,3,10,17,0,27,N
4,96,Israel,L,1,15,19,0,34,N
4,96,Israel,H,2,18,13,2,33,N
4,96,Israel,L,3,17,19,1,37,N
4,97,Israel,L,1,6,14,2,22,N
4,97,Israel,H,2,9,12,0,21,N
4,97,Israel,L,3,13,15,0,28,N
4,98,Israel,L,1,8,8,1,17,N
4,98,Israel,H,2,16,7,1,24,N
4,98,Israel,L,3,15,9,0,24,N
4,99,Brownsville,H,1,12,20,0,32,N
4,99,Brownsville,L,2,19,17,0,36,N
4,99,Brownsville,H,3,13,14,0,27,N
4,100,Brownsville,H,1,11,12,3,26,N
4,100,Brownsville,L,2,10,21,0,31,N
4,100,Brownsville,H,3,27,15,0,42,N
4,101,Brownsville,H,1,10,9,1,20,N
4,101,Brownsville,L,2,19,15,0,34,N
4,101,Brownsville,H,3,15,19,0,34,N
4,102,Brownsville,L,1,8,17,1,26,N
4,102,Brownsville,H,2,7,9,0,16,N
4,102,Brownsville,L,3,7,12,0,19,N
4,103,Brownsville,L,1,8,12,1,21,N
4,103,Brownsville,H,2,8,3,2,13,N
4,103,Brownsville,L,3,6,4,0,10,N
4,104,Brownsville,L,1,11,7,0,18,N
4,104,Brownsville,H,2,10,13,0,23,N
4,104,Brownsville,L,3,9,8,0,17,N
4,105,Barcelona,H,1,18,16,0,34,N
4,105,Barcelona,L,2,16,14,1,31,N
4,105,Barcelona,H,3,6,15,1,22,N
4,106,Barcelona,H,1,11,20,0,31,N
4,106,Barcelona,L,2,14,18,2,34,N
4,106,Barcelona,H,3,16,10,2,28,N
4,107,Barcelona,H,1,15,21,1,37,N
4,107,Barcelona,L,2,25,11,0,36,N
4,107,Barcelona,H,3,11,15,0,26,N
4,108,Barcelona,L,1,12,7,2,21,N
4,108,Barcelona,H,2,14,13,0,27,N
4,108,Barcelona,L,3,9,18,0,27,N
4,109,Barcelona,L,1,16,21,3,40,N
4,109,Barcelona,H,2,16,18,0,34,N
4,109,Barcelona,L,3,15,18,1,34,N
4,110,Barcelona,L,1,7,7,1,15,N
4,110,Barcelona,H,2,14,13,2,29,N
4,110,Barcelona,L,3,23,25,0,48,N
5,111,Dahomey,L,1,10,11,0,21,N
5,111,Dahomey,H,2,10,27,1,38,N
5,111,Dahomey,L,3,20,25,0,45,N
5,111,Dahomey,H,4,12,14,0,26,Y
5,112,Dahomey,L,1,3,3,0,6,N
5,112,Dahomey,H,2,15,16,0,31,N
5,112,Dahomey,L,3,32,26,0,58,N
5,112,Dahomey,H,4,16,18,0,34,N
5,113,Dahomey,H,1,14,15,3,32,N
5,113,Dahomey,L,2,29,26,0,55,N
5,113,Dahomey,H,3,20,29,0,49,N
5,113,Dahomey,L,4,15,17,0,32,N
5,114,Dahomey,H,1,16,11,0,27,N
5,114,Dahomey,L,2,39,35,1,75,N
5,114,Dahomey,H,3,30,27,0,57,N
5,114,Dahomey,L,4,26,20,0,46,N
5,115,Dahomey,H,1,12,24,0,36,N
5,115,Dahomey,L,2,30,21,0,51,N
5,115,Dahomey,H,3,16,12,0,28,N
5,115,Dahomey,L,4,7,9,0,16,N
5,116,Sweden,L,1,11,5,0,16,N
